"Gene_ID","Gene_Symbol","logFC_24455","p_24455","padj_24455","logFC_63183","p_63183","padj_63183","meta_log2FC","meta_pvalue","meta_padj"
364,"AQP7",-2.27602992635241,2.86977959895975e-10,1.49501266976553e-08,-6.17737350983027,4.51958577359222e-14,8.91102799760378e-12,-2.27602992635241,2.8697795989599e-10,1.47434416968259e-08
379,"ARL4D",-2.10233933919845,1.67282219443844e-06,3.50500943457605e-05,-2.54603337515495,0.00175508959857935,0.0225391161552424,-2.10233933919845,1.67282219443852e-06,3.45930393368321e-05
397,"ARHGDIB",1.32833895096447,0.00035214887182012,0.00330341156313013,2.30896514746834,0.00232923282668768,0.0278825806731849,1.32833895096447,0.000352148871820122,0.00327449878534531
443,"ASPA",-0.934859143701416,0.00014818270271239,0.00160398869955411,-2.69014929574863,0.00027809876231014,0.00497402044563049,-0.934859143701416,0.000148182702712402,0.00158833834793422
445,"ASS1",-3.96594170943976,7.68639775858921e-12,5.3547270476588e-10,-3.59936501395415,3.95791133195691e-07,1.71841025938513e-05,-3.96594170943976,7.68639775858959e-12,5.26069548117073e-10
476,"ATP1A1",-1.74483506821675,4.8367654201116e-14,5.02877035042512e-12,-2.54726752812381,0.00208018124190814,0.025614810751755,-1.74483506821675,4.83676542011245e-14,4.94046273934668e-12
498,"ATP5F1A",-0.799193918427063,0.00011425563685121,0.00129804996700832,-2.60836123997692,0.00044541276232912,0.00736160994464865,-0.799193918427063,0.000114255636851217,0.00128482798304
525,"ATP6V1B1",-4.6327095437626,2.66423475439521e-22,9.622094149821e-20,-7.41814922486778,7.56618952057113e-19,2.69791000372876e-16,-4.6327095437626,2.66423475439534e-22,9.45312557724011e-20
549,"AUH",-1.29326441142938,7.99362100273066e-05,0.00095811750778581,-2.67690967149576,0.00087981663516702,0.0129682031563449,-1.29326441142938,7.99362100273079e-05,0.000947915496744233
558,"AXL",1.53179706416983,3.80456307358949e-08,1.2236696146404e-06,3.39856446111246,1.18517653833536e-05,0.00034483287510351,1.53179706416983,3.8045630735896e-08,1.20500341334495e-06
613,"BCR",-0.829624775382818,0.00180818942727238,0.0126148369722282,-2.22049131522145,0.00446542712069154,0.0453277365933795,-0.829624775382818,0.00180818942727235,0.0125013033056761
635,"BHMT",-2.15715954849574,1.55652543779414e-05,0.0002381466567256,-2.88998563579167,0.00132101372888557,0.0179193878398554,-2.15715954849574,1.55652543779413e-05,0.000235804859300879
