"Gene_ID","Gene_Symbol","meta_log2FC","meta_SE","meta_pvalue","meta_padj","ci_lower","ci_upper","tau2","I2","Q","Q_pvalue"
334,"APLP2",-0.456352174713638,0.266748033369081,0.087118289350051,0.236817720827971,-0.979168713063925,0.0664643636366492,0,0,0,1
341,"APOC1",4.98469694484327,0.327573779551517,2.72668974848416e-52,5.25199398268741e-49,4.34266413464263,5.62672975504391,0,0,0,1
347,"APOD",-3.26921192956704,0.611624389575374,9.03521372946929e-08,2.60860356990224e-06,-4.46797370520107,-2.07045015393301,0,0,0,1
348,"APOE",-0.456196156977788,0.487691782194451,0.349572411320111,0.574789972507891,-1.41205448563506,0.499662171679488,0,0,0,1
350,"APOH",-3.36234872594926,0.569572887249339,3.56342850642471e-09,1.40896500152857e-07,-4.47869107152846,-2.24600638037006,0,0,0,1
351,"APP",0.0776200407503063,0.320610036122289,0.808701829902828,0.904474465996264,-0.550764083131466,0.706004164632078,0,0,0,1
353,"APRT",0.312769716982574,0.280589682662825,0.264984504435111,0.484248586784848,-0.237175955470086,0.862715389435234,0,0,0,1
355,"FAS",1.27339686004177,0.28188051440313,6.25723132490443e-06,0.000108023367418292,0.720921203868011,1.82587251621553,0,0,0,1
356,"FASLG",1.93446637958907,0.637785989777066,0.00242058273979011,0.0158507610881933,0.68442880978179,3.18450394939635,0,0,0,1
357,"SHROOM2",-0.552894795866184,0.302165133224849,0.0672832988777984,0.197256081489314,-1.14512757437064,0.0393379826382673,0,0,0,1
358,"AQP1",-2.61784773923908,0.493961233325628,1.15991324185286e-07,3.28552736132398e-06,-3.5859939663163,-1.64970151216186,0,0,0,1
359,"AQP2",-11.3228801971902,0.677609034787384,1.10744433185712e-62,3.73291798160738e-59,-12.6509695009724,-9.99479089340798,0,0,0,1
360,"AQP3",-1.75492959913118,0.393624704300531,8.25803404997419e-06,0.000136617267602211,-2.52641984298545,-0.983439355276911,0,0,0,1
361,"AQP4",-0.46083047569252,0.349956855455441,0.187898690079312,0.394370802979352,-1.14673330852807,0.225072357143034,0,0,0,1
364,"AQP7",-2.27602992635241,0.360950605214303,2.8697795989599e-10,1.47434416968259e-08,-2.98348011277038,-1.56857973993444,0,0,0,1
366,"AQP9",0.571242610239311,0.465736578083417,0.219997092542532,0.43258287862782,-0.341584309087113,1.48406952956573,0,0,0,1
367,"AR",-0.0203868682454565,0.301666454724652,0.946119318978966,0.974747977213525,-0.611642254849657,0.570868518358744,0,0,0,1
368,"ABCC6",-1.56118993094591,0.364466825583732,1.83984534354821e-05,0.000272951364521342,-2.27553178264967,-0.846848079242154,0,0,0,1
369,"ARAF",-0.00694373812864737,0.310242521006212,0.982143521442771,0.992225468276104,-0.615007905773734,0.601120429516439,0,0,0,1
372,"ARCN1",0.256822085653268,0.201592188328925,0.202674601307017,0.412601789132193,-0.138291343036041,0.651935514342577,0,0,0,1
373,"TRIM23",0.279177477565638,0.185424125046944,0.132165850586168,0.31428212832096,-0.0842471293912236,0.6426020845225,0,0,0,1
375,"ARF1",0.395086492378299,0.279447710321081,0.15741714482001,0.352450243043539,-0.152620955413202,0.9427939401698,0,0,0,1
377,"ARF3",0.208384720562489,0.248670957716685,0.402034186160453,0.622660549767078,-0.279001400563296,0.695770841688274,0,0,0,1
378,"ARF4",0.0394227484717906,0.19131489840537,0.836742408355817,0.918488796862451,-0.335547562108674,0.414393059052255,0,0,0,1
379,"ARL4D",-2.10233933919845,0.438956888317339,1.67282219443852e-06,3.45930393368321e-05,-2.96267903106621,-1.24199964733069,0,0,0,1
381,"ARF5",0.40007074269765,0.268258893721398,0.135866848495919,0.319675256859885,-0.125707027528848,0.925848512924148,0,0,0,1
382,"ARF6",-0.113517908905989,0.183139535945428,0.535360618145747,0.734290475708857,-0.472464803504407,0.245428985692428,0,0,0,1
384,"ARG2",-0.449011537798464,0.827267770548794,0.587291991795131,0.771403597211276,-2.07042657364485,1.17240349804792,0,0,0,1
387,"RHOA",0.353415494511926,0.211863521527404,0.0952902992208796,0.251466098136642,-0.0618293773196122,0.768660366343464,0,0,0,1
388,"RHOB",-0.326562233105243,0.317366433520795,0.303491264100944,0.527860257207563,-0.948589012707927,0.29546454649744,0,0,0,1
389,"RHOC",0.337791590591256,0.197722870791099,0.0875604234792652,0.237397383826851,-0.0497381150791646,0.725321296261677,0,0,0,1
390,"RND3",-0.0481382070844588,0.463492498710933,0.917280662779251,0.961067240264311,-0.956566811662365,0.860290397493447,0,0,0,1
391,"RHOG",0.807489169784522,0.272436051388657,0.00303709171465843,0.0190019060736611,0.273524320972451,1.34145401859659,0,0,0,1
