"Gene_Symbol","Gene_ID","log2FC","Regulation","Degree","Betweenness","Closeness","Eigenvector","PageRank"
"CPNE2","221184",1.49155033111509,"Upregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
"PRDM1","639",1.67250793681915,"Upregulated",9,8.95810751611642e-05,0.305882352941176,0.117953328723556,0.00208234452196433
"ABLIM3","22885",1.58352577914347,"Upregulated",1,0,0.212765957446809,0.000421563860383907,0.000963679727943646
"TST","7263",-1.5177719785497,"Downregulated",7,0.00141418212029373,0.275813295615276,0.0441700775315316,0.00189841053784106
"GZMK","3003",2.71967184189255,"Upregulated",7,1.20974354678009e-05,0.288888888888889,0.10413545548139,0.00164503192504459
"TMEM255A","55026",2.48263100545584,"Upregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
"GMPR","2766",-2.0352903754821,"Downregulated",5,0.0005078936009466,0.277777777777778,0.0321564748645751,0.00149311697955995
"ECI2","10455",-1.58832221468594,"Downregulated",17,0.00199266633582559,0.328836424957841,0.244457261638645,0.00345334711903242
"APOH","350",-4.04552789446585,"Downregulated",15,0.00165867074043165,0.351985559566787,0.184844540117833,0.00343041733738046
"GJB1","2705",-2.65282199357428,"Downregulated",3,0,0.347284060552093,0.0972541312442643,0.000979636687313264
"USP46","64854",-1.06105075385781,"Downregulated",1,0,0.222602739726027,0.00102705252893715,0.00072126941603276
"STARD8","9754",-1.34635945123309,"Downregulated",1,0,0.25965379494008,0.00761345746172771,0.000595675051959127
"LCP2","3937",1.53264176791728,"Upregulated",16,0.0030592336926203,0.342405618964004,0.197587323694595,0.00380168100768634
"SCNN1A","6337",-2.24757526120373,"Downregulated",13,0.00238647745337113,0.303501945525292,0.0264876711121448,0.00369941805894561
"PLXNA3","55558",1.53708537231438,"Upregulated",4,0.000376444616994633,0.283018867924528,0.0185790301590466,0.00137698020436273
"MORN2","729967",-1.07676888148409,"Downregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
"DIRAS2","54769",2.6349955870296,"Upregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
"ACLY","47",1.35422478383417,"Upregulated",37,0.0110081977692482,0.382352941176471,0.682375919504335,0.00689411161287859
"HPGD","3248",-2.36926090787323,"Downregulated",7,0.00257301483483995,0.294784580498866,0.0363294174990129,0.00223617340709869
"COXFA4L2","56901",6.88110494129825,"Upregulated",6,0.00237777633385164,0.328282828282828,0.0544024171075939,0.00174919201484854
"RPL27A","6157",1.1146620907343,"Upregulated",3,2.13231783569021e-05,0.301857585139319,0.0503719310250973,0.000934246107913676
"ITLN1","55600",-3.95164111407441,"Downregulated",1,0,0.270457697642164,0.0137912266050833,0.000580359302012452
"PDP2","57546",-1.48982897141876,"Downregulated",2,0,0.277580071174377,0.0381397378168386,0.000699420176160261
"PPFIA4","8497",1.9539538552922,"Upregulated",1,0,0.228203627852545,0.0014093896416866,0.000652392307431579
"FAM219A","203259",1.27164617107103,"Upregulated",1,0,1,1.39671764746529e-17,0.00241954996370571
"RPLP0","6175",1.62037792188285,"Upregulated",12,0.00496753089591309,0.363805970149254,0.242264762061707,0.00291374603391726
"HPCAL1","3241",1.2889619180953,"Upregulated",2,5.34362966536602e-05,0.226612434631028,0.00125690168573663,0.00114378568807882
"HECW1","23072",-1.80393076443049,"Downregulated",3,5.65517992903885e-05,0.268041237113402,0.0152162601762276,0.0010643328197499
"PKM","5315",1.42611553548164,"Upregulated",39,0.0323815678145962,0.420711974110032,0.736618844688039,0.00788712242942659
"TMEM74B","55321",2.73020551363467,"Upregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
"SCRN2","90507",-1.75656897003397,"Downregulated",1,0,0.127576054955839,7.91063985770387e-08,0.00141319449987256
