GeneID,GSM1543544,GSM1543545,GSM1543546,GSM1543547
9454,1683,1482,2246,1062
5888,73,5,19,21
10721,35,77,76,10
5291,1063,665,783,751
1535,22639,23755,4236,5018
84321,1102,238,501,484
23593,3380,3220,644,1177
10198,528,450,222,214
54477,1322,1033,634,1525
5652,1295,4547,2676,3445
80143,582,585,790,450
23223,909,472,725,283
57600,339,707,4330,1234
6307,767,1288,358,1003
55761,1433,462,2464,912
60529,4,0,1,5
23105,20,101,146,124
1112,521,342,2028,643
728464,7,3,22,27
8574,2666,13246,2186,5887
51154,976,590,793,503
4826,2,1,20,8
55850,4377,2116,830,960
23101,30,21,33,30
83714,545,428,794,446
3909,249,26,397,82
55745,441,658,1861,1074
29945,563,355,734,407
3784,509,507,402,822
27095,2171,1650,1942,1566
9967,1557,941,5315,1840
29085,12001,16996,2072,3346
954,148,186,18,129
4065,288,56,177,210
51742,574,295,866,551
23596,137,14,464,118
10806,471,415,357,258
5798,155,1,473,4
55733,101,30,506,119
23095,753,524,2716,1119
2296,175,229,201,360
25771,1489,1116,1004,684
23224,1142,1065,9963,3713
57475,161,55,2500,198
10079,868,388,2824,401
23626,0,0,0,0
140689,266,8,2,10
25884,91,38,7,8
23201,979,271,3112,672
84957,354,18,633,43
2581,917,568,1953,754
51602,1079,615,1206,763
26099,2523,1525,4238,2063
3757,35,25,379,27
8454,1834,576,1760,920
10827,639,169,726,422
26999,8472,14298,1906,7128
23118,721,429,1108,1063
116254,902,1069,855,2190
5610,678,219,1005,745
57602,1065,584,1557,498
58508,735,196,2578,689
55283,114,164,146,240
114800,9,2,693,33
23369,1282,825,3146,1641
84545,5082,2991,2299,2668
3700,801,257,52,137
3697,4,4,2,1
54969,546,305,314,266
51663,1510,733,2404,976
55609,69,6,75,34
10886,0,0,1,1
112885,1,21,65,103
7185,524,111,581,236
54542,657,950,399,740
3833,0,0,0,0
55540,1498,1845,1049,3201
10758,1248,235,250,195
8908,315,225,2,192
131566,1262,292,698,498
6317,0,0,0,9
6646,1357,381,1375,617
5318,188,84,102,340
4438,24,0,4,2
2155,1,31,31,42
2665,10503,5788,3838,5041
639,299,12,810,106
9474,610,432,333,515
57458,229,189,943,358
57095,1555,1431,1515,962
57504,761,732,636,653
8975,288,134,311,260
23200,625,274,596,520
3918,358,55,16,139
5218,601,321,933,1122
29927,15697,6241,5412,4306
4659,652,267,1516,798
5923,18,21,2667,312
816,17,286,2717,171
9696,692,129,1727,670
